Catchment Information,,,,Reservoir Catchment Descriptors ,,,,,,,Signatures,,,,
Sample,Gauge ID,BFI,Gauge Area,Total Reservoir Catchment Area ,Upstream Reservoir Count,Upstream Capacity (Ml),Contributing Area (%) ,Use,Minimum Distance to Reservoir (m),Normalised Upstream Capacity (mm),WB,SFDC,LFV,E,SWRR
Benchmark,23004,0.34,750.5,NA,NA,NA,NA,NA,NA,NA,0.05,0.112,0.611,1.22,0.542
Benchmark,24004,0.47,74.2,NA,NA,NA,NA,NA,NA,NA,0.087,0.129,0.402,1.974,0.480
Benchmark,25006,0.21,86.7,NA,NA,NA,NA,NA,NA,NA,0.169,0.136,0.696,1.284,0.510
Benchmark,26003,0.96,85.5,NA,NA,NA,NA,NA,NA,NA,0.059,0.113,0.344,1.505,0.650
Benchmark,27035,0.37,283.2,NA,NA,NA,NA,NA,NA,NA,0.064,0.156,0.572,1.257,0.492
Benchmark,27042,0.58,59.8,NA,NA,NA,NA,NA,NA,NA,0.129,0.12,0.356,1.296,0.488
Benchmark,27047,0.18,11.2,NA,NA,NA,NA,NA,NA,NA,0.087,0.141,0.792,0.976,0.671
Benchmark,27051,0.31,8.2,NA,NA,NA,NA,NA,NA,NA,0.088,0.145,0.46,1.492,0.338
Benchmark,27071,0.47,1347.4,NA,NA,NA,NA,NA,NA,NA,0.142,0.148,0.467,1.134,0.467
Benchmark,28046,0.79,85.6,NA,NA,NA,NA,NA,NA,NA,0.108,0.101,0.288,1.087,0.527
Benchmark,28072,0.67,59.9,NA,NA,NA,NA,NA,NA,NA,0.032,0.116,0.594,1.539,0.481
Benchmark,29003,0.9,36,NA,NA,NA,NA,NA,NA,NA,0.286,0.119,0.502,1.415,0.531
Benchmark,29009,0.53,34,NA,NA,NA,NA,NA,NA,NA,0.058,0.108,0.189,1.979,0.223
Benchmark,30004,0.65,64.2,NA,NA,NA,NA,NA,NA,NA,0.093,0.099,0.466,1.424,0.441
Benchmark,30012,0.44,38.2,NA,NA,NA,NA,NA,NA,NA,0.113,0.099,0.339,2.13,0.236
Benchmark,30015,0.89,41.3,NA,NA,NA,NA,NA,NA,NA,0.097,0.146,0.256,1.969,0.441
